seller_id,seller_gmv_brl,seller_orders,avg_delivery_days,avg_review_score
c66dccfb3f109511246da627dd5a2498,13682.25,45,11.35,4.49
c8b0e2b0a7095e5d8219575d5e7e1181,13657.34,84,10.06,4.05
c60b801f2d52c7f7f91de00870882a75,13652.89,41,16.1,3.32
056b4ada5bbc2c50cc7842547dda6b51,13639.41,65,12.71,4.12
6e386f64c84e482f0b9abf960797ee1b,13563.66,30,10.48,4.61
70c27847eca8195c983ed7e798c56743,13529.18,77,10.85,4.2
1d8dbc4f32378d715c717c1c1fc57bae,13421.05,92,15.57,3.9
25e6ffe976bd75618accfe16cefcbd0d,13396.85,108,9.98,4.38
ed4acab38528488b65a9a9c603ff024a,13369.76,32,9.19,3.73
09f952a5f58d2285b0372551ae8f9b01,13346.46,50,13.15,3.88
ca3bd7cd9f149df75950150d010fe4a2,13171.37,71,13.79,3.72
54965bbe3e4f07ae045b90b0b8541f52,13164.84,78,26.73,2.94
23d7c96d4a1160db1c726b248601b25a,13146.52,53,13.26,3.82
d1b65fc7debc3361ea86b5f14c68d2e2,13141.8,40,9.07,4.56
562fc2f2c2863ab7e79a9e4388a58a14,13119.34,260,11.26,4.24
5058e8c1e82653974541e83690655b4a,13077.93,63,26.44,3.08
1da3aeb70d7989d1e6d9b0e887f97c23,13055.36,265,8.35,4.08
ce27a3cc3c8cc1ea79d11e561e9bebb6,13011.87,135,10.08,3.87
f262cbc1c910c83959f849465454ddd3,12989.85,192,8.95,4.09
66e0557ecc2b4dbea057e93f215f68d8,12977.99,31,31.73,3.94
4830e40640734fc1c52cd21127c341d4,12970.02,210,9.94,4.1
7040e82f899a04d1b434b795a43b4617,12955.98,212,10.24,3.53
b499c00f28f4b7069ff6550af8c1348a,12905.08,152,10.82,4.14
dd2bdf855a9172734fbc3744021ae9b9,12853.88,108,15.25,3.79
c9c7905cffc4ef9ff9f113554423e671,12766.71,127,11.06,4.16
f3b80352b986ab4d1057a4b724be19d0,12692.73,87,10.61,4.13
7ea5bfa6c340f58f8e71fc1f0412b0d6,12663.88,98,12.74,4.08
d71d863e5ef30d94e440c11be17dcd8f,12655.65,29,19.68,3.24
72c5da29406b4234927b81855e7b64f6,12652.47,31,10.8,4.13
1c129092bf23f28a5930387c980c0dfc,12589.29,201,11.59,4.17
7901646fdd36a55f564ffaf2dbccaaf7,12478.83,22,9.88,4.44
82e0a475a88cc9595229d8029273f045,12415.92,42,15.26,3.35
5343d0649eca2a983820bfe93fc4d17e,12393.23,71,11.36,3.61
6973a06f484aacf400ece213dbf3d946,12374.62,95,14.99,3.53
c864036feaab8c1659f65ea4faebe1da,12299.77,58,12.28,4.57
33a6f4b1e7cdc205511e76ba1b6e0186,12183.91,105,8.54,4.36
17ca9b9e9b9ef8fdb529001b49ebb50f,12120.72,116,8.06,4.01
f80edd2c5aaa505cc4b0a3b219abf4b8,12108.94,119,12.15,4.08
dd7ddc04e1b6c2c614352b383efe2d36,12072.0,122,14.82,3.76
4e7c18b98d84e05cbae3ff0ff03846c2,12053.88,82,12.09,4.14
bd23da7354813347129d751591d1a6e2,12011.13,89,9.83,4.02
9d5a9018aee56acb367ba9c3f05d1d6a,11982.21,67,14.43,4.41
8b28d096634035667e8263d57ba3368c,11967.15,143,14.29,3.86
31344c16881c08a8a72c6d2eb29918c1,11912.62,43,15.7,4.35
fffd5413c0700ac820c7069d66d98c89,11896.04,60,13.74,3.87
32b8764b4ef628b53608fc34011fcc13,11854.42,36,11.27,4.24
01cf7e3d21494c41fb86034f2e714fa1,11738.18,61,11.57,4.21
aaed1309374718fdd995ee4c58c9dfcd,11708.02,105,12.2,4.05
aafe36600ce604f205b86b5084d3d767,11673.2,129,12.44,4.38
9b013e03b2ab786505a1d3b5c0756754,11631.61,174,8.0,4.0
36a968b544695394e4e9d7572688598f,11628.87,154,10.73,3.63
3db66a856d18a9cba7c9241fc5221c50,11522.66,94,15.83,4.19
0df3984f9dfb3d49ac6366acbd3bbb85,11520.21,87,9.61,4.3
9d4db00d65d7760644ac0c14edb5fd86,11512.81,98,8.07,4.52
92eb0f42c21942b6552362b9b114707d,11492.67,341,13.48,3.93
6c7d50c24b3ccd2fd83b44d8bb34e073,11470.19,114,12.14,4.39
5656537e588803a555b8eb41f07a944b,11442.96,174,11.42,3.8
