customer_state,customer_city,category,orders,gmv_brl
SP,sao paulo,market_place,36,4400.63
SP,guarulhos,garden_tools,37,4396.99
MG,belo horizonte,fashion_bags_accessories,49,4390.73
PA,belem,auto,19,4371.3
RN,natal,health_beauty,23,4370.25
SP,maua,health_beauty,38,4354.69
RS,porto alegre,auto,38,4354.54
SP,barueri,health_beauty,32,4346.34
SP,carapicuiba,bed_bath_table,49,4346.26
SP,osasco,perfumery,33,4309.16
RJ,nova iguacu,health_beauty,35,4306.12
PR,londrina,bed_bath_table,33,4305.89
PR,curitiba,construction_tools_construction,12,4302.85
GO,goiania,perfumery,34,4272.81
SP,sorocaba,housewares,44,4262.42
SP,jundiai,garden_tools,20,4260.38
SP,campinas,construction_tools_construction,16,4254.72
SP,sao bernardo do campo,telephony,39,4250.16
RJ,duque de caxias,bed_bath_table,36,4234.76
SP,guarulhos,stationery,35,4231.91
ES,vila velha,computers_accessories,22,4227.44
RJ,petropolis,computers_accessories,21,4220.66
SP,franca,furniture_decor,14,4206.84
SP,araraquara,computers_accessories,17,4203.91
SP,sorocaba,cool_stuff,22,4196.93
SP,santo andre,baby,26,4189.5
SP,santos,garden_tools,22,4181.51
SP,sao jose dos campos,housewares,42,4162.67
RS,caxias do sul,computers_accessories,24,4160.89
RJ,volta redonda,bed_bath_table,29,4146.11
SP,marilia,watches_gifts,12,4125.21
ES,vitoria,sports_leisure,23,4111.88
MG,contagem,watches_gifts,21,4101.91
SP,santos,housewares,41,4096.91
MS,campo grande,auto,10,4091.65
SP,marilia,sports_leisure,20,4075.39
PR,ponta grossa,watches_gifts,10,4070.1
MG,uberlandia,housewares,29,4055.23
SC,florianopolis,baby,11,4054.95
SP,campinas,musical_instruments,12,4050.56
SP,cotia,bed_bath_table,31,4048.5
SP,campinas,consoles_games,19,4038.87
RS,porto alegre,stationery,36,4000.27
RJ,rio de janeiro,home_confort,29,3991.32
SP,rio claro,bed_bath_table,20,3977.85
PR,curitiba,telephony,60,3973.33
PR,maringa,housewares,11,3970.83
SP,campinas,pet_shop,24,3968.8
MG,juiz de fora,perfumery,17,3957.11
SP,campinas,telephony,55,3950.78
MG,contagem,bed_bath_table,28,3946.2
MA,sao luis,sports_leisure,28,3936.14
PR,maringa,computers_accessories,20,3923.88
PB,joao pessoa,sports_leisure,21,3920.05
GO,goiania,toys,33,3919.94
RJ,nova friburgo,health_beauty,15,3903.22
CE,fortaleza,housewares,28,3901.74
PR,maringa,bed_bath_table,22,3898.04
SP,osasco,toys,32,3896.41
BA,salvador,perfumery,31,3891.13
PE,recife,telephony,45,3885.36
DF,brasilia,office_furniture,19,3884.4
SP,sao paulo,food_drink,54,3875.06
SC,florianopolis,garden_tools,21,3863.57
SP,ribeirao preto,furniture_decor,32,3863.45
RJ,campos dos goytacazes,bed_bath_table,26,3861.16
SP,franca,bed_bath_table,22,3855.06
RJ,nova iguacu,sports_leisure,29,3852.73
RS,santa maria,watches_gifts,10,3848.19
SE,aracaju,cool_stuff,11,3838.5
SP,diadema,bed_bath_table,37,3833.02
SP,sorocaba,perfumery,27,3818.04
PE,olinda,watches_gifts,10,3799.65
SP,santos,auto,22,3771.71
RJ,campos dos goytacazes,watches_gifts,13,3771.16
BA,salvador,fashion_bags_accessories,27,3768.2
SP,osasco,computers_accessories,40,3763.77
PR,londrina,telephony,16,3757.47
AL,maceio,auto,13,3738.05
PR,maringa,furniture_decor,27,3735.83
SP,jundiai,pet_shop,21,3722.37
SP,sao bernardo do campo,garden_tools,32,3711.91
SP,sao jose dos campos,perfumery,30,3689.19
SP,santos,cool_stuff,23,3680.13
SP,osasco,cool_stuff,27,3678.76
SP,santos,baby,27,3659.77
SP,sao bernardo do campo,perfumery,35,3650.14
BA,salvador,unknown,29,3646.15
SP,santana de parnaiba,sports_leisure,13,3639.18
MA,sao luis,baby,16,3633.49
RS,porto alegre,musical_instruments,12,3623.54
SP,barueri,watches_gifts,22,3621.91
SP,sao jose do rio preto,health_beauty,24,3618.79
CE,fortaleza,garden_tools,19,3613.85
PR,curitiba,musical_instruments,11,3603.18
SP,piracicaba,health_beauty,27,3597.25
SP,mogi das cruzes,health_beauty,29,3596.39
PE,recife,bed_bath_table,26,3586.87
